Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2021,dodge,challengerr/t,used,33995,4.9,24,rwd,15,23,gasoline,18752
2016,mazda,cx-5grandtouring,used,18950,4.7,308,awd,24,30,gasoline,57000
2015,honda,accordex-l,used,21998,4.7,310,fwd,21,34,gasoline,92614
2017,chevrolet,camaro2ss,used,29995,4.8,264,rwd,16,25,gasoline,78378
2017,nissan,rogues,used,16985,4.7,547,awd,25,32,gasoline,47061
2019,toyota,highlanderse,used,39368,4.6,363,fwd,21,27,gasoline,27027
2019,chevrolet,cruzels,used,21998,4.8,69,fwd,28,38,gasoline,29865
2018,chevrolet,traversepremier,used,36525,4.7,266,fwd,18,27,gasoline,56722
2020,nissan,muranosv,used,27289,4.9,76,fwd,20,28,gasoline,41010
2019,bmw,540ixdrive,used,47805,4.9,17,awd,21,29,gasoline,26042
2021,volkswagen,atlas3.6lselpremium,used,49500,4.8,42,awd,16,22,gasoline,10640
2015,chevrolet,tahoeltz,used,28850,4.5,107,4wd,16,22,gasoline,139597
2020,honda,civicsport,used,19800,4.9,169,fwd,29,37,gasoline,20164
2018,nissan,roguesl,used,26884,4.7,415,awd,25,32,gasoline,53043
2021,honda,pilotspecialedition,used,43171,4.8,63,awd,19,26,gasoline,22250
2017,hyundai,tucsonse,used,18550,4.7,623,awd,21,26,gasoline,93960
2021,honda,pilotspecialedition,used,42950,4.8,63,awd,19,26,gasoline,15002
2019,buick,enclaveessence,used,34856,4.6,63,fwd,18,26,gasoline,26135
2019,buick,enclaveessence,used,34888,4.6,63,fwd,18,26,gasoline,17542
2015,jeep,wranglerunlimitedsport,used,26455,4.6,138,4wd,16,21,gasoline,113580
2020,buick,enclaveessence,used,36500,4.8,41,fwd,18,26,gasoline,29500
2018,bmw,x5mbase,used,70996,4.8,6,awd,14,19,gasoline,33757
2021,genesis,gv802.5t,used,55841,4.8,19,rwd,21,25,gasoline,26663
2021,chevrolet,tahoez71,used,70490,4.5,37,4wd,16,20,gasoline,24054
2021,genesis,gv802.5t,used,68988,4.8,19,awd,21,25,gasoline,11049
2017,acura,mdx3.5lw/advancepackage,used,24950,4.6,133,awd,19,26,gasoline,63014
2007,toyota,rav4sport,used,8500,4.3,135,4wd,21,28,gasoline,141372
2015,chevrolet,suburban1500lt,used,33895,4.6,77,4wd,15,22,gasoline,79436
